Scene,Target,Source,Fitness,Inlier RMSE,Transformation
sun3d-hotel_uc-scan3,3,45,0.6594803064494719,0.016495000407640435,"[[0.999060621064, -0.043274883904, -0.002271533218, 0.810011984515], [0.042111740647, 0.957172411119, 0.286439481728, -0.086726637968], [-0.01022138639, -0.28626606473, 0.958095644205, -0.4912875497], [0.0, 0.0, 0.0, 1.0]]"
sun3d-hotel_uc-scan3,14,24,0.6861079494147245,0.014409920162655836,"[[0.994156180606, 0.023847238136, -0.105284366341, -0.269084365283], [-0.027223280288, 0.999156433078, -0.030745979406, -0.111434376976], [0.10446234524, 0.03343249127, 0.993966743385, 0.502387312441], [0.0, 0.0, 0.0, 1.0]]"
7-scenes-redkitchen,31,33,0.41037889115049203,0.015286332503865983,"[[0.641629581613, 0.628890460745, -0.439099383264, -0.111724084944], [-0.427215009623, 0.768477490185, 0.4763713705, -0.061373687542], [0.637023402672, -0.118064115899, 0.761749334745, -0.053480742384], [0.0, 0.0, 0.0, 1.0]]"
7-scenes-redkitchen,3,12,0.8243166572105597,0.017315056557299258,"[[0.921766116931, -0.267895391689, 0.28031996859, 0.402387276439], [0.254866310389, 0.963436272124, 0.082666277188, 0.199924446807], [-0.292216340247, -0.004754857202, 0.956340421516, -0.09577598109], [0.0, 0.0, 0.0, 1.0]]"
sun3d-home_at-home_at_scan1_2013_jan_1,33,36,0.2126712770496195,0.019010391439064724,"[[0.881308714163, 0.158593021393, -0.445132793563, -0.562382889973], [-0.139002090604, 0.987328164257, 0.076560530775, -0.339851735963], [0.451634109814, -0.005599074031, 0.892185676428, 0.948129251552], [0.0, 0.0, 0.0, 1.0]]"
sun3d-home_at-home_at_scan1_2013_jan_1,8,29,0.3890282971521722,0.02192824515317489,"[[-0.380469693393, -0.434525835241, 0.816351707855, -2.049047401616], [0.279320499661, 0.787518227888, 0.54935880735, -0.601334177054], [-0.881602444914, 0.437038143933, -0.178254845291, 2.536483192618], [0.0, 0.0, 0.0, 1.0]]"
sun3d-home_at-home_at_scan1_2013_jan_1,42,48,0.3739781208603943,0.023304624984413443,"[[-0.122354643141, 0.289738829523, -0.949252733453, 2.111096487206], [-0.383690297312, 0.868266576254, 0.314475608447, -0.900514032639], [0.915320215581, 0.402696614371, 0.004933530554, 1.933222488708], [0.0, 0.0, 0.0, 1.0]]"
sun3d-mit_lab_hj-lab_hj_tea_nov_2_2012_scan1_erika,14,16,0.9025411241999954,0.013218041965711235,"[[0.991745791377, 0.018892947468, -0.126820116, 0.164361451443], [-0.010029294478, 0.997484657965, 0.070169582991, -0.056140020106], [0.127826830277, -0.068318472325, 0.989440694433, 0.184611536929], [0.0, 0.0, 0.0, 1.0]]"
sun3d-mit_lab_hj-lab_hj_tea_nov_2_2012_scan1_erika,5,7,0.40140150074925635,0.024972326522967696,"[[0.739623886841, 0.074434020424, -0.668891682276, 0.842859909899], [-0.092674526133, 0.995661674097, 0.008322435909, -0.154803913531], [0.666609284529, 0.055833747295, 0.743313294945, -0.313323305584], [0.0, 0.0, 0.0, 1.0]]"
sun3d-mit_lab_hj-lab_hj_tea_nov_2_2012_scan1_erika,0,10,0.5364812632017274,0.02598873659776741,"[[-0.476069832517, 0.047554549199, -0.87812076585, 2.171264839246], [0.058892904866, 0.998019224406, 0.022119074856, 0.010582803097], [0.877433268302, -0.041184858462, -0.477927470554, 3.58151838638], [0.0, 0.0, 0.0, 1.0]]"
sun3d-mit_76_studyroom-76-1studyroom2,35,38,0.36091906946264746,0.01901482260796969,"[[0.842718086119, -0.213741899824, 0.49410588702, -0.170750832671], [0.243066651706, 0.969996475146, 0.005043910547, 0.174392725944], [-0.480359063781, 0.115850068904, 0.869387100996, -0.104995226512], [0.0, 0.0, 0.0, 1.0]]"
sun3d-mit_76_studyroom-76-1studyroom2,1,38,0.24406809742245522,0.020297046541181505,"[[0.991133145902, 0.124703505239, -0.045870719154, 1.185129760644], [-0.119833515751, 0.988057296141, 0.096864379651, -0.185162147199], [0.057402226415, -0.090508647783, 0.994239995715, 0.490366033805], [0.0, 0.0, 0.0, 1.0]]"
sun3d-mit_76_studyroom-76-1studyroom2,1,36,0.4813721230080994,0.01647045073248837,"[[0.93190012626, 0.185721429363, -0.311560115149, 1.318435463281], [-0.135245133064, 0.974940449606, 0.176634859823, -0.319823381399], [0.336557437385, -0.122469058941, 0.933665047511, 0.576669788601], [0.0, 0.0, 0.0, 1.0]]"
